iter	Passed	Remaining
0	131	131641
1	136	67940
2	136	45519
3	137	34268
4	138	27495
5	138	22988
6	139	19767
7	140	17370
8	140	15488
9	141	13983
10	141	12750
11	142	11724
12	142	10850
13	143	10101
14	143	9452
15	144	8897
16	145	8398
17	145	7955
18	146	7560
19	146	7198
20	147	6868
21	147	6568
22	148	6296
23	148	6049
24	149	5816
25	149	5601
26	149	5402
27	150	5217
28	150	5045
29	151	4885
30	151	4735
31	151	4596
32	152	4463
33	152	4338
34	153	4219
35	153	4107
36	153	4003
37	154	3904
38	154	3809
39	154	3718
40	155	3632
41	155	3552
42	156	3475
43	156	3400
44	156	3329
45	157	3262
46	157	3197
47	158	3135
48	158	3076
49	158	3019
50	159	2964
51	159	2913
52	160	2861
53	160	2813
54	160	2765
55	161	2719
56	161	2675
57	162	2633
58	162	2592
59	163	2553
60	163	2515
61	163	2479
62	164	2444
63	164	2409
64	165	2375
65	165	2342
66	165	2310
67	166	2279
68	166	2249
69	167	2219
70	167	2191
71	167	2162
72	168	2135
73	168	2108
74	168	2082
75	169	2057
76	169	2033
77	169	2009
78	170	1985
79	170	1963
80	171	1940
81	171	1919
82	171	1896
83	172	1875
84	172	1855
85	172	1836
86	173	1817
87	173	1799
88	174	1781
89	174	1764
90	174	1747
91	175	1730
92	175	1714
93	176	1698
94	176	1682
95	176	1666
96	177	1651
97	177	1636
98	178	1621
99	178	1606
100	178	1593
101	179	1579
102	179	1566
103	180	1553
104	180	1540
105	181	1528
106	181	1515
107	182	1503
108	182	1490
109	182	1478
110	183	1466
111	183	1455
112	183	1444
113	184	1433
114	184	1422
115	185	1412
116	185	1400
117	186	1390
118	186	1380
119	186	1371
120	187	1361
121	187	1351
122	188	1341
123	188	1332
124	189	1323
125	189	1314
126	189	1304
127	190	1296
128	190	1287
129	191	1278
130	191	1270
131	191	1262
132	192	1253
133	192	1245
134	193	1236
135	193	1228
136	193	1220
137	194	1213
138	194	1205
139	195	1197
140	195	1190
141	195	1182
142	196	1175
143	196	1167
144	196	1160
145	197	1153
146	197	1146
147	198	1139
148	198	1133
149	198	1126
150	199	1120
151	199	1113
152	200	1107
153	200	1101
154	200	1094
155	201	1088
156	201	1082
157	202	1076
158	202	1070
159	202	1064
160	203	1058
161	203	1052
162	203	1046
163	204	1041
164	204	1036
165	205	1030
166	205	1025
167	205	1020
168	206	1015
169	206	1009
170	207	1004
171	207	999
172	208	994
173	208	989
174	208	984
175	209	979
176	209	974
177	209	969
178	210	964
179	210	959
180	211	955
181	211	950
182	211	945
183	212	940
184	212	936
185	212	931
186	213	926
187	213	922
188	213	917
189	214	913
190	214	909
191	215	904
192	215	900
193	215	896
194	216	892
195	216	888
196	216	883
197	217	879
198	217	876
199	217	871
200	218	867
201	218	864
202	219	860
203	219	856
204	219	852
205	220	848
206	220	844
207	220	840
208	221	837
209	221	833
210	221	830
211	222	826
212	222	822
213	223	819
214	223	815
215	223	812
216	224	808
217	224	805
218	224	801
219	225	798
220	225	795
221	225	791
222	226	788
223	226	785
224	227	782
225	227	778
226	227	775
227	228	772
228	228	769
229	228	766
230	229	762
231	229	759
232	229	756
233	230	754
234	230	751
235	231	748
236	231	745
237	231	742
238	232	739
239	232	736
240	233	733
241	233	731
242	233	728
243	234	725
244	234	722
245	234	719
246	235	716
247	235	714
248	235	711
249	236	708
250	236	705
251	236	703
252	237	700
253	237	697
254	237	695
255	238	692
256	238	690
257	239	687
258	239	684
259	239	682
260	240	680
261	240	677
262	241	675
263	241	673
264	241	670
265	242	668
266	242	666
267	242	663
268	243	661
269	243	659
270	244	656
271	244	654
272	244	652
273	245	650
274	245	647
275	246	645
276	246	643
277	246	640
278	247	638
279	247	636
280	247	634
281	248	632
282	248	629
283	248	627
284	249	625
285	249	623
286	249	621
287	250	618
288	250	616
289	251	614
290	251	612
291	251	610
292	252	608
293	252	606
294	252	604
295	253	602
296	253	600
297	253	598
298	254	596
299	254	594
300	255	592
301	255	590
302	255	588
303	256	586
304	256	584
305	256	582
306	257	580
307	257	578
308	257	576
309	258	575
310	258	573
311	259	571
312	259	569
313	259	567
314	260	565
315	260	564
316	260	562
317	261	560
318	261	559
319	262	557
320	262	555
321	263	554
322	263	552
323	263	550
324	264	548
325	264	547
326	265	545
327	265	543
328	265	542
329	266	540
330	266	538
331	266	536
332	267	535
333	267	533
334	267	531
335	268	530
336	268	528
337	269	527
338	269	525
339	269	523
340	270	522
341	270	520
342	270	518
343	271	517
344	271	515
345	271	514
346	272	512
347	272	510
348	273	509
349	273	507
350	273	506
351	274	504
352	274	503
353	274	501
354	275	500
355	275	498
356	275	496
357	276	495
358	276	493
359	277	492
360	277	491
361	277	489
362	278	488
363	278	486
364	278	485
365	279	483
366	279	482
367	279	480
368	280	479
369	280	477
370	281	476
371	281	475
372	281	473
373	282	472
374	282	470
375	282	469
376	283	467
377	283	466
378	283	465
379	284	463
380	284	462
381	284	461
382	285	459
383	285	458
384	286	457
385	286	455
386	286	454
387	287	453
388	287	451
389	287	450
390	288	449
391	288	447
392	289	446
393	289	445
394	289	443
395	290	442
396	290	441
397	290	440
398	291	438
399	291	437
400	292	436
401	292	434
402	292	433
403	293	432
404	293	431
405	293	430
406	294	428
407	294	427
408	294	426
409	295	425
410	295	423
411	296	422
412	296	421
413	296	420
414	297	418
415	297	417
416	297	416
417	298	415
418	298	413
419	298	412
420	299	411
421	299	410
422	299	409
423	300	407
424	300	406
425	301	405
426	301	404
427	301	403
428	302	402
429	302	400
430	302	399
431	303	398
432	303	397
433	303	396
434	304	395
435	304	394
436	304	392
437	305	391
438	305	390
439	306	389
440	306	388
441	306	387
442	307	386
443	307	385
444	307	383
445	308	382
446	308	381
447	308	380
448	309	379
449	309	378
450	309	377
451	310	376
452	310	375
453	310	373
454	311	372
455	311	371
456	312	370
457	312	369
458	312	368
459	313	367
460	313	366
461	313	365
462	314	364
463	314	363
464	315	362
465	315	361
466	315	360
467	316	359
468	316	358
469	317	357
470	317	356
471	317	355
472	318	354
473	318	353
474	319	352
475	319	351
476	319	350
477	320	349
478	320	348
479	320	347
480	321	346
481	321	345
482	321	344
483	322	343
484	322	342
485	323	341
486	323	340
487	323	339
488	324	338
489	324	337
490	325	336
491	325	336
492	325	335
493	326	334
494	326	333
495	326	332
496	327	331
497	327	330
498	328	329
499	328	328
500	328	327
501	329	326
502	329	325
503	329	324
504	330	323
505	330	322
506	331	322
507	331	321
508	331	320
509	332	319
510	332	318
511	333	317
512	333	316
513	334	315
514	334	314
515	334	314
516	335	313
517	335	312
518	335	311
519	336	310
520	336	309
521	337	308
522	337	307
523	337	306
524	338	306
525	338	305
526	339	304
527	339	303
528	339	302
529	340	301
530	340	300
531	340	299
532	341	298
533	341	298
534	341	297
535	342	296
536	342	295
537	342	294
538	343	293
539	343	292
540	344	291
541	344	291
542	344	290
543	345	289
544	345	288
545	346	287
546	346	286
547	346	286
548	347	285
549	347	284
550	347	283
551	348	282
552	348	281
553	349	281
554	349	280
555	349	279
556	350	278
557	350	277
558	350	276
559	351	276
560	351	275
561	352	274
562	352	273
563	352	272
564	353	271
565	353	271
566	353	270
567	354	269
568	354	268
569	354	267
570	355	266
571	355	266
572	356	265
573	356	264
574	356	263
575	357	262
576	357	262
577	357	261
578	358	260
579	358	259
580	358	258
581	359	258
582	359	257
583	360	256
584	360	255
585	360	254
586	361	254
587	361	253
588	361	252
589	362	251
590	362	250
591	363	250
592	363	249
593	363	248
594	364	247
595	364	247
596	364	246
597	365	245
598	365	244
599	365	243
600	366	243
601	366	242
602	367	241
603	367	241
604	368	240
605	368	239
606	368	238
607	369	237
608	369	237
609	369	236
610	370	235
611	370	234
612	370	234
613	371	233
614	371	232
615	372	231
616	372	231
617	372	230
618	373	229
619	373	228
620	373	228
621	374	227
622	374	226
623	375	226
624	375	225
625	375	224
626	376	223
627	376	223
628	376	222
629	377	221
630	377	220
631	378	220
632	378	219
633	379	218
634	379	218
635	379	217
636	380	216
637	380	216
638	381	215
639	381	214
640	382	213
641	382	213
642	382	212
643	383	211
644	383	211
645	383	210
646	384	209
647	384	208
648	384	208
649	385	207
650	385	206
651	386	206
652	386	205
653	386	204
654	387	203
655	387	203
656	387	202
657	388	201
658	388	201
659	388	200
660	389	199
661	389	198
662	390	198
663	390	197
664	390	196
665	391	196
666	391	195
667	391	194
668	392	194
669	392	193
670	393	192
671	393	192
672	394	191
673	394	190
674	394	190
675	395	189
676	395	188
677	396	188
678	396	187
679	396	186
680	397	186
681	397	185
682	398	184
683	398	184
684	398	183
685	399	182
686	399	182
687	399	181
688	400	180
689	400	180
690	401	179
691	401	178
692	401	177
693	402	177
694	402	176
695	402	175
696	403	175
697	403	174
698	403	173
699	404	173
700	404	172
701	405	171
702	405	171
703	405	170
704	406	169
705	406	169
706	406	168
707	407	167
708	407	167
709	407	166
710	408	165
711	408	165
712	409	164
713	409	164
714	409	163
715	410	162
716	410	162
717	411	161
718	411	160
719	412	160
720	412	159
721	412	158
722	413	158
723	413	157
724	413	157
725	414	156
726	414	155
727	415	155
728	415	154
729	415	153
730	416	153
731	416	152
732	416	151
733	417	151
734	417	150
735	417	149
736	418	149
737	418	148
738	419	148
739	419	147
740	419	146
741	420	146
742	420	145
743	420	144
744	421	144
745	421	143
746	421	142
747	422	142
748	422	141
749	423	141
750	423	140
751	423	139
752	424	139
753	424	138
754	424	137
755	425	137
756	425	136
757	426	136
758	426	135
759	426	134
760	427	134
761	427	133
762	427	132
763	428	132
764	428	131
765	428	131
766	429	130
767	429	129
768	430	129
769	430	128
770	430	127
771	431	127
772	431	126
773	432	126
774	432	125
775	432	124
776	433	124
777	433	123
778	433	123
779	434	122
780	434	121
781	434	121
782	435	120
783	435	120
784	435	119
785	436	118
786	436	118
787	436	117
788	437	116
789	437	116
790	438	115
791	438	115
792	438	114
793	439	113
794	439	113
795	440	112
796	440	112
797	441	111
798	441	111
799	441	110
800	442	109
801	442	109
802	442	108
803	443	108
804	443	107
805	443	106
806	444	106
807	444	105
808	445	105
809	445	104
810	445	103
811	446	103
812	446	102
813	447	102
814	447	101
815	447	101
816	448	100
817	448	99
818	449	99
819	449	98
820	449	98
821	450	97
822	450	96
823	450	96
824	451	95
825	451	95
826	452	94
827	452	93
828	452	93
829	453	92
830	453	92
831	453	91
832	454	91
833	454	90
834	455	89
835	455	89
836	455	88
837	456	88
838	456	87
839	457	87
840	457	86
841	457	85
842	458	85
843	458	84
844	458	84
845	459	83
846	459	83
847	460	82
848	460	81
849	460	81
850	461	80
851	461	80
852	462	79
853	462	79
854	462	78
855	463	77
856	463	77
857	464	76
858	464	76
859	464	75
860	465	75
861	465	74
862	465	73
863	466	73
864	466	72
865	466	72
866	467	71
867	467	71
868	468	70
869	468	69
870	468	69
871	469	68
872	469	68
873	470	67
874	470	67
875	470	66
876	471	66
877	471	65
878	472	64
879	472	64
880	472	63
881	473	63
882	473	62
883	473	62
884	474	61
885	474	61
886	475	60
887	475	59
888	475	59
889	476	58
890	476	58
891	477	57
892	477	57
893	477	56
894	478	56
895	478	55
896	478	54
897	479	54
898	479	53
899	480	53
900	480	52
901	480	52
902	481	51
903	481	51
